exchange(交易所),code(代码),name(ETF简称),index_name(跟踪指数),fund_manager(基金管理人),listed_trading_days(上市交易天数_近300日封顶),suspend_days_60d(近60交易日停牌天数),adv_amount_60d(近60交易日日均成交额_元),avg_abs_premium_discount_60d(近60交易日平均绝对折溢价),pct_days_premium_discount_gt_1pct_60d(近60交易日折溢价超1%占比)
sh,510010,治理ETF,上证180公司治理指数,交银施罗德基金管理有限公司,300,0,216882.90,0.002614,0.016667
sh,510020,超大ETF,上证超级大盘指数,博时基金管理有限公司,300,0,2725407.97,0.001840,0.016667
sh,510030,价值ETF,上证180价值指数,华宝基金管理有限公司,300,0,4837475.58,0.000843,0.000000
sh,510040,上证180E,上证180指数,鹏华基金管理有限公司,300,0,3902726.20,0.001337,0.000000
sh,510050,50ETF,上证50指数,华夏基金管理有限公司,300,0,2657332012.80,0.000472,0.000000
sh,510060,央企ETF,上证中央企业50指数,工银瑞信基金管理有限公司,300,0,555186.87,0.001266,0.000000
sh,510090,ESG建信,上证社会责任指数,建信基金管理有限责任公司,300,0,37823.30,0.001669,0.000000
sh,510100,SZ50ETF,上证50指数,易方达基金管理有限公司,300,0,442390815.47,0.000595,0.000000
sh,510130,中盘ETF,上证中盘指数,易方达基金管理有限公司,300,0,2251402.02,0.003083,0.050000
sh,510150,消费ETF,上证消费80指数,招商基金管理有限公司,300,0,35671005.00,0.001061,0.000000
sh,510160,产业升级,中证南方小康产业指数,南方基金管理股份有限公司,300,0,770952.02,0.001872,0.000000
sh,510170,商品ETF,上证大宗商品股票指数,国联安基金管理有限公司,300,0,29413339.67,0.000928,0.000000
sh,510180,180ETF,上证180指数,华安基金管理有限公司,300,0,114836641.33,0.000654,0.000000
sh,510190,上证50基,上证龙头企业指数,华安基金管理有限公司,300,0,2192089.47,0.001057,0.000000
sh,510200,上证券商,上证证券行业指数,汇安基金管理有限责任公司,300,0,3762811.12,0.001102,0.000000
sh,510210,综指ETF,上证综合指数,富国基金管理有限公司,300,0,612542250.93,0.001114,0.000000
sh,510230,金融ETF,上证180金融股指数,国泰基金管理有限公司,300,0,65866903.03,0.000701,0.000000
sh,510270,国企ETF,上证国有企业100指数,中银基金管理有限公司,300,0,4272311.20,0.001024,0.000000
sh,510290,380ETF,上证380指数,南方基金管理股份有限公司,300,0,1010794.90,0.001129,0.000000
sh,510300,300ETF,沪深300指数,华泰柏瑞基金管理有限公司,300,0,4130576375.47,0.000608,0.000000
sh,510310,HS300ETF,沪深300指数,易方达基金管理有限公司,300,0,1377975367.73,0.000626,0.000000
sh,510320,300中金,沪深300指数,中金基金管理有限公司,263,0,30177251.17,0.001335,0.000000
sh,510330,华夏300,沪深300指数,华夏基金管理有限公司,300,0,869792191.73,0.000785,0.000000
sh,510350,工银300,沪深300指数,工银瑞信基金管理有限公司,300,0,25500777.10,0.000915,0.000000
sh,510360,广发300,沪深300指数,广发基金管理有限公司,300,0,61114550.40,0.001224,0.016667
sh,510370,兴业300,沪深300指数,兴业基金管理有限公司,300,0,4146208.08,0.001396,0.016667
sh,510380,国寿300,沪深300指数,国寿安保基金管理有限公司,300,0,9477928.27,0.002137,0.016667
sh,510390,平安300,沪深300指数,平安基金管理有限公司,300,0,5742903.72,0.001130,0.000000
sh,510410,资源ETF,上证自然资源指数,博时基金管理有限公司,300,0,39615242.45,0.001212,0.000000
sh,510500,500ETF,中证小盘500指数,南方基金管理股份有限公司,300,0,4723935547.73,0.000685,0.000000
sh,510510,广发500,中证小盘500指数,广发基金管理有限公司,300,0,75889729.13,0.000936,0.000000
